1,IUNI0001 L. Iunius (46a Supb. 5.356ff.) M. f. Brutus,Iunius,Brutus
2,TARQ0002 L. Tarquinius (8) Egeri f. Collatinus,Tarquinius,Collatinus
3,VALE0003 P. Valerius (302) Volus. f. - n. Poplicola,Valerius,Poplicola
4,LUCR0004 Sp. Lucretius (30) T. ? f. - n. Tricipitinus,Lucretius,Tricipitinus
5,HORA0005 M. Horatius (15) M. f. - n. Pulvillus,Horatius,Pulvillus
6,MINU0006 M. Minucius (17 cf. 32) (Augurinus),Minucius,(Augurinus)
7,VETU0007 P. (or C.) Veturius (16) Geminus Cicurinus,Veturius,Geminus
10,LUCR0010 T. Lucretius (31) T. f.  Tricipitinus,Lucretius,Tricipitinus
11,HERM0011 T. Herminius (2) Aquilinus,Herminius,Aquilinus
12,LARC0012 Sp. Larcius (4) Rufus or Flavus,Larcius,Rufus or Flavus 
13,VALE0013 M. Valerius (74) Volus. f. (Volusus),Valerius,(Volusus)
15,POST0015 P. Postumius (64) Q. f. - n. Tubertus,Postumius,Tubertus
17,LARC0017 T. Larcius (2) Flavus or Rufus,Larcius,Flavus or Rufus
18,MENE0018  Menenius (12) C. f. - n. Lanatus,Menenius,Lanatus
19,VERG0019 Opet. Verginius (17) Opit. f.  Tricostus,Verginius,Tricostus
20,CASS0020 Sp. Cassius (91) Vecellinus,Cassius,Vecellinus
21,COMI0021 Post. Cominius (16) Auruncus,Cominius,Auruncus
23,SULP0023 Ser. Sulpicius (35) P. f. - n. Camerinus Cornutus,Sulpicius,Camerinus
24,TULL0024 M'. Tullius (41) Longus,Tullius,Longus
25,AEBU0025 T. Aebutius (15) T. f. - n. Helva,Aebutius,Helva
27,POST0027 A. Postumius (*3) P. f. Albus Regillensis,Postumius,Albus
28,SEMP0028 A. Sempronius (20) Atratinus,Sempronius,Atratinus
29,CLOE0029 Q. Cloelius (10) Siculus,Cloelius,Siculus
30,MINU0030 M. Minucius (32) Augurinus,Minucius,Augurinus
31,VERG0031 T. Verginius (21) A. f.  Tricostus Caeliomontanus,Verginius,Tricostus
32,CLAU0032 Ap. Claudius (321) M. f. Sabinus Inregillensis,Claudius,Sabinus
33,SERV0033 P. Servilius (76) P. f. - n. Priscus Structus,Servilius,Priscus
35,VERG0035 A. Verginius (11) A. f.  Tricostus Caeliomontanus,Verginius,Tricostus
36,VETU0036 T. Veturius (17) Geminus Cicurinus,Veturius,Geminus
37,VALE0037 M'. Valerius (243) Volus. f. Maximus,Valerius,Maximus
38,SERV0038 Q. Servilius (27) Priscus Structus,Servilius,Priscus
39,ALBI0039 L. Albinius (4) C. f. Paterculus,Albinius,Paterculus
40,IUNI0040 L. Iunius (47) Brutus,Iunius,Brutus
43,SICI0043 L. Sicinius (4) L. f. Vellutus (Bellutus),Sicinius,Vellutus
44,VISC0044 C. Viscellius (or Visellius) (Icilius 5) Ruga,Viscellius (or Visellius),Ruga
48,GEGA0048 T. Geganius (7) Macerinus,Geganius,Macerinus
49,MINU0049 P. Minucius (33) Augurinus,Minucius,Augurinus
51,VALE0051 P. Valerius (301) P. f. Volus. n. Poplicola,Valerius,Poplicola
53,IUNI0053 T. Iunius (55) Brutus,Iunius,Brutus
55,SULP0055 Q. Sulpicius (33) Camerinus Cornutus,Sulpicius,Camerinus
56,IULI0056 C. Iulius (293) C. f. - n. Iullus,Iulius,Iullus
57,PINA0057 P. Pinarius (13) Mamertinus Rufus,Pinarius,Mamertinus
58,NAUT0058 Sp. Nautius (8) Sp. ? f. - n. Rutilus,Nautius,Rutilus
59,FURI0059 Sex. Furius (26) (Medullinus) (Fusus),Furius,(Medullinus)
61,SICI0061 T. Sicinius (13 cf. Siccius 2) (Sabinus),Sicinius,(Sabinus)
62,AQUI0062 C. Aquillius (8) (Tuscus),Aquillius,(Tuscus)
63,VERG0063 Proc. Verginius (19) Opet.? f. Opet. n. Tricostus Rutilus,Verginius,Tricostus
65,MUCI0065 P. Mucius (7) Scaevola,Mucius,Scaevola
67,VALE0067 M. (Valerius) (cf. 65) Laevinus,(Valerius),Laevinus
69,TULL0069 M'. Tullius (53 cf. 41) Tolerinus,Tullius,Tolerinus
76,CORN0076 Ser. Cornelius (253) Maluginensis Tricostus,Cornelius,Maluginensis
77,FABI0077 Q. Fabius (164 cf. 159) K. f.  Vibulanus,Fabius,Vibulanus
78,FABI0078 K. Fabius (159) K. f. Vibulanus,Fabius,Vibulanus
79,VALE0079 L. Valerius (380) M. f. Volus. n. Potitus,Valerius,Potitus
80,AEMI0080 L. Aemilius (96) Mam. f. - n. Mamercus,Aemilius,Mamercus
82,FABI0082 M. Fabius (160 cf. 159) K. f. - n. Vibulanus,Fabius,Vibulanus
85,IULI0085 C. Iulius (294) C. f. L. n. Iullus,Iulius,Iullus
86,FURI0086 Sp. Furius (70) Fusus,Furius,Fusus
88,MANL0088 Cn. Manlius (19) P. f. - n. Cincinnatus,Manlius,Cincinnatus
91,VERG0091 T. Verginius (22) Opet. f. Opet. n. Tricostus Rutilus,Verginius,Tricostus
92,SERV0092 C. Servilius (87) Structus Ahala,Servilius,Structus
96,MENE0096 T. Menenius (17) Agrippae f. C. n. Lanatus,Menenius,Lanatus
97,VERG0097 A. Verginius (12) (Opet. ? f. Opet. n.) Tricostus Rutilus,Verginius,Tricostus
98,SERV0098 Sp. Servilius (85) (P. ? f. - n.) Structus,Servilius,Structus
101,NAUT0101 C. Nautius (5) Sp. f. Sp. n. Rutilus,Nautius,Rutilus
104,FURI0104 L. Furius (64) Medullinus,Furius,Medullinus
105,MANL0105 A. Manlius (89) (Cn. f. P. n.) Vulso,Manlius,Vulso
106,IULI0106 Vop. Iulius (301) C. f. L. n. Iullus,Iulius,Iullus
107,VERG0107 Opet. Verginius (18) Opet. f.  Esquilinus,Verginius,Esquilinus
109,PINA0109 L. Pinarius (12) Mamercinus Rufus,Pinarius,Mamercinus
110,FURI0110 P. Furius (69) Medullinus Fusus,Furius,Medullinus
113,CLAU0113 Ap. Claudius (123) Ap. f. M. n. Crassinus Inregillensis Sabinus,Claudius,Crassinus
114,QUIN0114 T. Quinctius (24) (L. f. L. n.) Capitolinus Barbatus,Quinctius,Capitolinus
116,AEMI0116 Ti. Aemilius (99) L. f. Mam. n. Mamercus,Aemilius,Mamercus
121,NUMI0121 T. Numicius (4) Priscus,Numicius,Priscus
122,VERG0122 A. Verginius (13) (Tricostus) Caeliomontanus,Verginius,(Tricostus)
123,SERV0123 Q. Servilius (77) Structus Priscus,Servilius,Structus
124,FABI0124 Q. Fabius (165) M. f. K. n. Vibulanus,Fabius,Vibulanus
125,POST0125 Sp. Postumius (52b) A. f. P. n. Albus Regillensis,Postumius,Albus
126,POST0126 A. Postumius (52a) A. f. P. n. Albus Regillensis,Postumius,Albus
127,FURI0127 Sp. Furius (71) Medullinus Fusus,Furius,Medullinus
129,SERV0129 P. Servilius (73) Sp. f. P. n. Priscus,Servilius,Priscus
130,AEBU0130 L. Aebutius (11) T. f. T. n. Helva,Aebutius,Helva
132,VALE0132 M'. Valerius (67 cf. 243) (Maximus),Valerius,(Maximus)
133,LUCR0133 L. Lucretius (28) T. f. T. n. Tricipitinus,Lucretius,Tricipitinus
134,VETU0134 T. Veturius (18) T. f. - n. Geminus Cicurinus,Veturius,Geminus
135,TERE0135 C. Terentilius (RE 5A. 591f.) Harsa,Terentilius,Harsa
137,VOLU0137 P. Volumnius (10) M. f. M. n. Amintinus Gallus,Volumnius,Amintinus
