1,IUNI0001 L. Iunius (46a  Supb. 5.356ff.) M. f. Brutus,cos. 509,-509
2,TARQ0002 L. Tarquinius (8) Egeri f. Collatinus,cos. 509,-450
3,VALE0003 P. Valerius (302) Volus. f. - n. Poplicola,cos. suff. 509,-503
4,LUCR0004 Sp. Lucretius (30) T. ? f. - n. Tricipitinus,cos. suff. 509,-509
5,HORA0005 M. Horatius (15) M. f. - n. Pulvillus,cos. suff. 509,-450
6,MINU0006 M. Minucius (17 cf. 32) (Augurinus),q. 509,-450
7,VETU0007 P. (or C.) Veturius (16) Geminus Cicurinus,cos. 499,-425
8,PAPI0008 C. Papirius (10),pont. 509,-450
9,PAPI0009 M'. Papirius (20  cf. 1-5),rex sacr. 509,-450
10,LUCR0010 T. Lucretius (31) T. f.  Tricipitinus,cos. 508,-450
11,HERM0011 T. Herminius (2) Aquilinus,cos. 506,-499
12,LARC0012 Sp. Larcius (4) Rufus or Flavus,cos. 506,-425
13,VALE0013 M. Valerius (74) Volus. f. (Volusus),cos. 505,-499
14,LUCR0014 P. Lucretius (11),cos.? 506,-450
15,POST0015 P. Postumius (64) Q. f. - n. Tubertus,cos. 505,-425
17,LARC0017 T. Larcius (2) Flavus or Rufus,cos. 501,-425
18,MENE0018  Menenius (12) C. f. - n. Lanatus,cos. 503,-493
19,VERG0019 Opet. Verginius (17) Opit. f.  Tricostus,cos. 502,-425
20,CASS0020 Sp. Cassius (91) Vecellinus,cos. 502,-485
21,COMI0021 Post. Cominius (16) Auruncus,cos. 501,-425
22,VALE0022 M'. Valerius (65) M. f. Volus. n.,dict. before 500,-450
23,SULP0023 Ser. Sulpicius (35) P. f. - n. Camerinus Cornutus,cos. 500,-463
24,TULL0024 M'. Tullius (41) Longus,cos. 500,-450
25,AEBU0025 T. Aebutius (15) T. f. - n. Helva,cos. 499,-425
27,POST0027 A. Postumius (*3) P. f. Albus Regillensis,cos. 496,-425
28,SEMP0028 A. Sempronius (20) Atratinus,cos. 497,-425
29,CLOE0029 Q. Cloelius (10) Siculus,cos. 498,-425
30,MINU0030 M. Minucius (32) Augurinus,cos. 497,-425
31,VERG0031 T. Verginius (21) A. f.  Tricostus Caeliomontanus,cos. 496,-425
32,CLAU0032 Ap. Claudius (321) M. f. Sabinus Inregillensis,cos. 495,-425
33,SERV0033 P. Servilius (76) P. f. - n. Priscus Structus,cos. 495,-425
34,LAET0034 M. Laetorius (8),X vir s. f.? 495,-425
35,VERG0035 A. Verginius (11) A. f.  Tricostus Caeliomontanus,cos. 494,-425
